Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Esportiu Manyanet","","Carrer del Prat d'en Rull, 6, 08029, Barcelona","+34934395025","esportiu@lescorts.many","https://padelizados.es/es-es/i/715-esportiu-manyanet/","N/A"
"Pádel Manyanet","","Carrer del Prat d'en Rull, 6, 08029, Barcelona","+34640169844","info@padelmanyanet.com","https://padelizados.es/es-es/i/1314-padel-manyanet/","N/A"
"Wellness Point ZAL","","Av. Ports d'Europa, 100, 08040, Barcelona","+34615254509","info@wellnesspoint.es","https://padelizados.es/es-es/i/1343-wellness-point-zal/","N/A"
"Club Deportivo Bilbao","","Alameda de Recalde, 28, 48009, Bilbao","+34944231108","colegio@neverscooperativa.es","https://padelizados.es/es-es/i/1266-club-deportivo-bilbao/","N/A"
"Pádel Derio Club","","Larrauri Kalea, 1, 48160, Derio","+34944544732","padel@padelderio.com","https://padelizados.es/es-es/i/503-padel-derio-club/","N/A"
"Padel Bizkaia - Zamudio","","Torrelaragoiti, 48170, Zamudio","+34607405958","info@padelbizkaia.com","https://padelizados.es/es-es/i/1274-padel-bizkaia-zamudio/","N/A"
"Padeltoki","","Polígono Granada, Pabellón I, 48530, Ortuella","+34946353644","info@padeltoki.com","https://padelizados.es/es-es/i/281-padeltoki/","N/A"
"Padelko","","Poligono industrial Tabernabarri n3 A1, 48215, Iurreta","+34608701437","info@padelko.com","https://padelizados.es/es-es/i/524-padelko/","N/A"
"Escuela Pro Pádel Vigo (I Padel)","11 pistas indoor (10D + 1I)","Polígono Industrial Portela, Av. de Puxeiros, 84, Nave 6, 36416 Tameiga-Mos","+34 676 56 53 67","info@ipadelfitness.es","https://www.propadelvigo.es/","Playtomic / Web Propia"
"XestionandoSport (Indoor Vigo)","3 ubicaciones, pistas cubiertas","Camiño Gandariña, 19, Nave 6, 36214 Vigo","+34 667 375 829","info@xestionandosport.com","https://xestionandosport.com/","Web / Teléfono"
"A1 Pádel Club (Escuela de Menores)","Pistas cubiertas","C/ Galileo Galilei, 36, 15008 A Coruña","+34 658 923 423","recepcion@a1-padel.com","https://www.a1-padel.com/","MatchPoint / Web Propia"
"Padel Compostela (Escuela de Pádel)","4 pistas de pádel","Rúa Eslovaquia, 6, 15707 Santiago de Compostela","+34 981 897 530","info@padelcompostela.com","https://padelcompostela.com/","Web / Teléfono"
"School Pádel Pontevedra","4 pistas de cristal indoor","Rúa Irlanda, 2, Monteporreiro, 36162 Pontevedra","+34 692 650 223","schoolpadelpontevedra@outlook.com","https://www.schoolpadelpontevedra.com/","Web / Teléfono"
"Escuela de Pádel ASM (Pádel en silla de ruedas)","Pistas adaptadas","A Coruña (ASPAYM Galicia)","+34 881 873 507","info@aspaymgalicia.org","https://www.aspaymgalicia.org/","Web / Teléfono"
"Escuela de Pádel CVE (Extraescolares)","Instalaciones del colegio","Colegio CVE, Madrid","N/A","padel@cve.edu.es","https://cve.edu.es/portfolio_page/escuela-de-padel/","Web / Teléfono"
"Escuela de Pádel Menores CD Montecanal","Pistas en centro deportivo","C/ de la Mesta, s/n, 50012 Zaragoza","+34 976 755 800","cdmontecanal@cdmontecanal.com","https://cdmontecanal.com/","Web / Teléfono"
"Escuela de Pádel CN Helios","Pistas del club","Zaragoza","N/A","padel@cnhelios.com","https://www.cnhelios.com/escuelas-deportivas/ninos/padel","Web / Teléfono"
"Federación Española de Pádel (FEP)","—","Avda. Francisco Guerrero 6B, casa 29, 28706 San Sebastián de los Reyes (Madrid)","+34 91 510 3400","info@padelfederacion.es","https://www.padelfederacion.es/","N/A"
"Federación Gallega de Pádel","2 clubes federados, 10.813 licencias","Ría do Burgo, 9, Entlo., 15008 A Coruña","+34 981 231 537","administracion@fgpadel.com","https://www.fgpadel.com/","N/A"
"Federación Madrileña de Pádel","19 clubes federados","Madrid","N/A","info@fmpadel.com","https://fmpadel.com/","N/A"
"Federació Catalana de Pàdel","19 clubes federados, 28.279 licencias","Via Augusta, 13-15, Despatx 108, 08006 Barcelona","N/A","padel@fcpadel.cat","https://fcpadel.cat/","N/A"
"Federación de Pádel de la Comunitat Valenciana","—","C/ Alfahuir, 44, Bajo, 46020 Valencia","+34 962 054 167","gerencia@padelcv.com","https://padelcv.com/","N/A"
"Federación Andaluza de Pádel","—","c/ Trajano, 17, 41002 Sevilla","+34 955 034 100","secretariogeneral@fap.es","https://fap.es/","N/A"
"Federación Vasca de Pádel","—","Paseo de Errotaburu, 1, 3ª Planta, 20018 Donostia-San Sebastián","+34 645 733 746","administracion@fvpadel.com","https://fvpadel.com/","N/A"
"Federación de Pádel de la Región de Murcia","—","Región de Murcia","+34 648 245 080","gestiondeportiva@federacionpadelmurcia.com","https://www.federacionpadelmurcia.com/","N/A"
"Federación Navarra de Pádel","—","Casa del Deporte, Plaza Aizagerria, 1, 2ª Planta, 31006 Pamplona","+34 695 830 922","contacto@federacionnavarradepadel.com","https://federacionnavarradepadel.com/","N/A"
"PadelSpirit Club - Madrid","","Vicálvaro, C. Pirotecnia, 59, 28052, Madrid","+34617217171","info@padelspiritclub.es","https://padelizados.es/es-es/i/59-padelspirit-club-madrid/","N/A"
"Gimnasio Wellsportclub","","Av. del Dr. Federico Rubio y Galí, 59, 28040, Madrid","","wellsportclub@wellsportclub.com","https://padelizados.es/es-es/i/627-gimnasio-wellsportclub/","N/A"
"Madrid Central Padel","","Calle Boyer, 28, C. de Boyer, 20, 28052, Madrid","+34608884708","recepcion@madridcentralpadel.com","https://padelizados.es/es-es/i/70-madrid-central-padel/","N/A"
"Indie Padel Club","","Av. de la Democracia, 11, 28031, Madrid","+34683293467","info@indiepadelclub.es","https://padelizados.es/es-es/i/57-indie-padel-club/","N/A"
"MOMO by Making Padel","","Azotea Parque Comercial Las Rejas, C. de Navaridas, 9, 28022, Madrid","+34670596725","makingpadel@momosportsclub.com","https://padelizados.es/es-es/i/104-momo-by-making-padel/","N/A"
"Arena Rio Padel","","C. de la Verdad, 20, 28019, Madrid","+34611043923","info@rioarenapadel.com","https://padelizados.es/es-es/i/125-arena-rio-padel/","N/A"
"Centro deportivo SMP","","C. del Dr. Esquerdo, 64, 66, 28007, Madrid","+34914009737","infodpo@forlopd.es","https://padelizados.es/es-es/i/899-centro-deportivo-smp/","N/A"
"Padel and Tennis Club Fuencarral","","C. del Monasterio de Las Huelgas, 15, 28049, Madrid","+34617481362","info@clubfuencarral.com","https://padelizados.es/es-es/i/109-padel-and-tennis-club-fuencarral/","N/A"
"Club de Campo Villa de Madrid","","Ctra. Castilla, km 2, 28040, Madrid","+34915502010","abonados@ccvm.es","https://padelizados.es/es-es/i/84-club-de-campo-villa-de-madrid/","N/A"
"Ciudad De La Raqueta","","C. del Monasterio de El Paular, 2, 28049, Madrid","+34917297922","entradas@ciudadraqueta.com","https://padelizados.es/es-es/i/54-ciudad-de-la-raqueta/","N/A"
"Club y Escuela de Padel IberiaMart Madrid","","Av. de Brasil, 5, 28020, Madrid","+34915565965","padel@iberiamart.es","https://padelizados.es/es-es/i/380-club-y-escuela-de-padel-iberiamart-madrid/","N/A"
"Club Deportivo Somontes","","Carr Madrid-El Pardo, Km. 3, 400, 28048, Madrid","+34913163434","hola@cdsomontes.com","https://padelizados.es/es-es/i/569-club-deportivo-somontes/","N/A"
"FactoryFit Fitness & Padel Club","","C. de Santa Leonor, 52, 28037, Madrid","+34913040291","info@factoryfit.es","https://padelizados.es/es-es/i/1211-factoryfit-fitness-padel-club/","N/A"
"Padel Madrid Las Tablas","","Av. del Camino de Santiago, 25, 28050, Madrid","+34915456972","somos@lastablassports.club","https://padelizados.es/es-es/i/63-padel-madrid-las-tablas/","N/A"
"Club de Tenis Chamartin","","C/ de Federico Salmón, 4, 28016, Madrid","+34913452500","info@ctchamartin.es","https://padelizados.es/es-es/i/501-club-de-tenis-chamartin/","N/A"
"Tres Olivos","","C. Bella Altisidora, 10, 28034, Madrid","","club3olivos@hotmail.com","https://padelizados.es/es-es/i/459-tres-olivos/","N/A"
"Forus Caja Mágica","","Cmo. de Perales, s/n, 28041, Madrid","+34917127997","infocajamagica@forus.es","https://padelizados.es/es-es/i/611-forus-caja-magica/","N/A"
"Reserva Tu Padel","","28045, Madrid","+34669015702","info@reservatupadel.es","https://padelizados.es/es-es/i/1196-reserva-tu-padel/","N/A"
"Cristalia Club Padel","","Vía de los Poblados, 3, 28033, Madrid","+34911731932","info@padelcristalia.com","https://padelizados.es/es-es/i/507-cristalia-club-padel/","N/A"
"Centro Deportivo Cultural Delicias","","Paseo de las Delicias, 61, 28045, Madrid","+34680647070","info@centrodelicias.org","https://padelizados.es/es-es/i/617-centro-deportivo-cultural-delicias/","N/A"
"Padel Club Teypasport","","Av. de las Piceas, 13, 28043, Madrid","+34654599259","info@teypasport.com","https://padelizados.es/es-es/i/811-padel-club-teypasport/","N/A"
"Padel Pastrana","","Polideportivo, Pl. del Duque de Pastrana, 5, 28036, Madrid","+34673351587","info@padelpastrana.com","https://padelizados.es/es-es/i/800-padel-pastrana/","N/A"
"Homepadelmadrid, Clases De Padel A Domicilio","","C. de Joaquín Lorenzo, 38, 28035, Madrid","+34607641640","info@homepadelmadrid.com","https://padelizados.es/es-es/i/988-homepadelmadrid-clases-de-padel-a-domicilio/","N/A"
"PrivaPadel","","C/ de María de Maeztu, 36, 28049, Madrid","+34611002526","contacto@privapadel.com","https://padelizados.es/es-es/i/1114-privapadel/","N/A"
"Pistas de Pádel CTM","","C. Eje 8, 17, 28053, Madrid","+34600714876","ctm@ctm-madrid.com","https://padelizados.es/es-es/i/1466-pistas-de-padel-ctm/","N/A"
"Club de pádel Occidental","","C. de Baeza, 28300, Madrid","+34693366109","padeloccidental@opsgestion.com","https://padelizados.es/es-es/i/1014-club-de-padel-occidental/","N/A"
"Sime Sports: Mantenimiento de piscinas, pistas de padel, gimnasios.","","C. de las Camelias, 14, 28042, Madrid","+34635536031","info@simesports.es","https://padelizados.es/es-es/i/1603-sime-sports-mantenimiento-de-piscinas-pistas-de-padel-gimnasios/","N/A"
"addpadel","","C. del Monasterio de las Batuecas, 13, 28049, Madrid","+34635549595","info@addpadel.com","https://padelizados.es/es-es/i/1469-addpadel/","N/A"
"Club Deportivo León 13","","C. Miguel Sel Gómez de la Cruz, 2, 29018, Málaga","+34951204132","info@clubdeportivoleon13.es","https://padelizados.es/es-es/i/135-club-deportivo-leon-13/","N/A"
"Oxygen Sports Club","","C. de Marie Curie, 26, 32, 29590, Málaga","+34951100909","info@oxygen-sportsclub.com","https://padelizados.es/es-es/i/884-oxygen-sports-club/","N/A"
"Club de pádel Miraflores","","Calle de, C. Francisco Guillón, 11, 29018, Málaga","+34679079160","info@sportmiraflores.com","https://padelizados.es/es-es/i/292-club-de-padel-miraflores/","N/A"
"Campamento de Verano Vals Sport Ave María","","Av de Sor Teresa Prat, 53, 29003, Málaga","+34951464294","recepcionconsul@valssport.com","https://padelizados.es/es-es/i/1295-campamento-de-verano-vals-sport-ave-maria/","N/A"
"MindsetPadel Academy","","C. de Alfredo Corrochano, 9, 29006, Málaga","+34677343993","info@mindsetpadel.com","https://padelizados.es/es-es/i/826-mindsetpadel-academy/","N/A"
"Centro Deportivo Fili Pinos del Limonar","","C. de la Era, 27, 29016, Málaga","+34952600124","atencionalcliente@pinosdellimonar.com","https://padelizados.es/es-es/i/1255-centro-deportivo-fili-pinos-del-limonar/","N/A"
"Centro Deportivo Verdolay","","Av. del Verdolay, 2, 30150, Murcia","+34868914847","info@cdverdolay.es","https://padelizados.es/es-es/i/393-centro-deportivo-verdolay/","N/A"
"Club de Padel Nueva Flota","","C. Cuatro Caminos, 19, 30007, Fuente Álamo de Murcia","+34656955661","info@clubdepadelnuevaflota.com","https://padelizados.es/es-es/i/420-club-de-padel-nueva-flota/","N/A"
"Montepríncipe Sport Center","","Av. de los Poetas, 30506, Murcia","+34623496777","info@monteprincipesportcenter.com","https://padelizados.es/es-es/i/1345-monteprincipe-sport-center/","N/A"
"Palma Racket Club","","Carrer de Galícia, 7, 07013, Palma de Mallorca","+34971736319","info@palmaracketclub.es","https://padelizados.es/es-es/i/105-palma-racket-club/","N/A"
"Pins Pàdel Club","","Calle Lluis Ferbal, 7, 07014, Palma de Mallorca","+34971450574","info@pinspadelclub.es","https://padelizados.es/es-es/i/121-pins-padel-club/","N/A"
"Freedom Wellness Club","","Carrer Gerani, 21, 07141, Palma de Mallorca","+34971008008","info@grupofreedom.es","https://padelizados.es/es-es/i/714-freedom-wellness-club/","N/A"
"Palma Padel","","Carrer de Castellà la Manxa, 6, 07013, Palma de Mallorca","+34971254730","info@palmapadel.es","https://padelizados.es/es-es/i/735-palma-padel/","N/A"
"CampusEsport","","Carr. de Valldemossa, km 7, 5, 07120, Palma de Mallorca","+34971172554","dpo@fueib.org","https://padelizados.es/es-es/i/711-campusesport/","N/A"
"Padel Factory Son Castelló","","Carrer Gremi Teixidors, 3, 07009, Palma de Mallorca","+34971432305","carlos@padelfactory.es","https://padelizados.es/es-es/i/168-padel-factory-son-castello/","N/A"
"DUIN Portitxol","","Carrer Cuba, 7, 07006, Palma de Mallorca","+34971270210","info@duinclub.com","https://padelizados.es/es-es/i/684-duin-portitxol/","N/A"
"Pádel Portitxol - Club de Pádel","","Carrer Cuba, 9, 07006, Palma de Mallorca","+34682051303","info@padelportitxol.com","https://padelizados.es/es-es/i/522-padel-portitxol-club-de-padel/","N/A"
"PÀDEL CLUB U36","","Carrer d'Andalusia, 07013, Palma de Mallorca","+34695543659","padelclubu36@hotmail.com","https://padelizados.es/es-es/i/513-padel-club-u36/","N/A"
"Fit Point | Pádel","","Polígono de, Son Morro, Carrer Son Morro, 10, 07007, Palma de Mallorca","+34971127520","padel@fitpoint.es","https://padelizados.es/es-es/i/526-fit-point-padel/","N/A"
"Césped artificial Baleares","","Camí de Muntanya, 7, 07141, Palma de Mallorca","+34648547343","info@cespedartificialbaleares.es","https://padelizados.es/es-es/i/1442-cesped-artificial-baleares/","N/A"
"TM Tenis y Padel Palma","","Carrer de Bartomeu Xamena, s/n, 07610, Palma de Mallorca","+34605492649","20info@tmtenisypadelpalma.es","https://padelizados.es/es-es/i/993-tm-tenis-y-padel-palma/","N/A"
"A2 Sports Padel Mallorca","","Castilla La Mancha, 6, 07011, Palma de Mallorca","+34649799699","contacto@a2sportspadel.com","https://padelizados.es/es-es/i/903-a2-sports-padel-mallorca/","N/A"
"Pádel Indoor La Porciúncula","10 pistas indoor","Camí del Palmer, 16, 07600 Platja de Palma","+34 722 63 42 71","info@padelindoorlaporciuncula.com","https://playtomic.app/","Playtomic"
"Centro Deportivo Supera Santander","","C. Castilla, 64, 39009, Santander","+34942348200","santander@centrosupera.com","https://padelizados.es/es-es/i/1093-centro-deportivo-supera-santander/","N/A"
"Club de Tenis Monteverde","","C. Tristana, 21, A, 39012, Santander","+34942332530","recepcion@clubdepadelytenismonteverde.com","https://padelizados.es/es-es/i/317-club-de-tenis-monteverde/","N/A"
"Futsa Meres","","Ctra. Oviedo, Km. 7.5, 33199, Santander","+34985794578","info@futsameres.com","https://padelizados.es/es-es/i/284-futsa-meres/","N/A"
"Sevilla Padel Experience","","Cardenal Bueno Monreal, 41013, Sevilla","+34645081839","hello@sevillapadelexperience.com","https://padelizados.es/es-es/i/320-sevilla-padel-experience/","N/A"
"IOpadel","","Av. la Prensa, 36, 41007, Sevilla","+34954676966","info@iopadel.es","https://padelizados.es/es-es/i/190-iopadel/","N/A"
"Galisport Happiness Club","","Cardenal Bueno Monreal, s/n, 41013, Sevilla","+34954296555","elporvenir@galisport.com","https://padelizados.es/es-es/i/1138-galisport-happiness-club/","N/A"
"SANTE SPORT & SOCIAL CLUB","","Av. del Deporte, 12, 41020, Sevilla","+34633232355","rrhh@clubsante.es","https://padelizados.es/es-es/i/894-sante-sport-social-club/","N/A"
"La Red 21 Padel Pro","","Cardenal Bueno Monreal, 38, 41013, Sevilla","+34635667324","hola@lared21.es","https://padelizados.es/es-es/i/580-la-red-21-padel-pro/","N/A"
"Centro Deportivo Fili Pino Montano","","C. Corral de los Olmos, 41015, Sevilla","+34955548108","comunicacion@filipinomontano.es","https://padelizados.es/es-es/i/995-centro-deportivo-fili-pino-montano/","N/A"
"Federación Andaluza de Pádel","","Av. Padre García Tejero, 6, Torre B, 41012, Sevilla","+34954270884","almeria@fap.es","https://padelizados.es/es-es/i/1043-federacion-andaluza-de-padel/","N/A"
"Racket Club Sevilla","","C. Rotonda del Tirreno, Parcela Z, 37°21'40.4N 6°02'51.8W, 41940, Tomares","+34648285347","administracion@racketclub.es","https://padelizados.es/es-es/i/722-racket-club-sevilla/","N/A"
"Simon Green Sport","","C/ Mirador, 41120, Gelves","+34954184344","administracion@simonverdesport.com","https://padelizados.es/es-es/i/787-simon-green-sport/","N/A"
"Club Zaudín Golf Sevilla","","9W5Q+3F, Glorieta del Zaudín y Puerta de las Marismas, 41940, Tomares","+34954154159","zeta@clubzaudingolf.com","https://padelizados.es/es-es/i/1116-club-zaudin-golf-sevilla/","N/A"
"Rio Grande Recreation Association","","Ctra. San Juan Palomares, 9, 41927, Mairena del Aljarafe","+34954181011","rosa.reinoso@riogrande.es","https://padelizados.es/es-es/i/216-rio-grande-recreation-association/","N/A"
"Activonic VIVA ACTIVE Travel - Padel, Tennis, Pickleball","","Club Bernier, C. Brasil, 41120, Gelves","+34669550680","info@vivaactivetravel.com","https://padelizados.es/es-es/i/1415-activonic-viva-active-travel-padel-tennis-pickleball/","N/A"
"Tienda Padel Nuestro Sevilla Aljarafe","","Polígono Industrial de, C. Industria, 5, 41927, Mairena del Aljarafe","+34954912427","info.fr@padelnuestro.com","https://padelizados.es/es-es/i/323-tienda-padel-nuestro-sevilla-aljarafe/","N/A"
"Club de Campo La Motilla","","C. Orión, 41703, Dos Hermanas","+34955675804","dpd@clubdecampolamotilla.es","https://padelizados.es/es-es/i/99-club-de-campo-la-motilla/","N/A"
"Zona de Pádel","","C/ de Salvador Cerveró, 24, 46025, Valencia","+34962071946","tienda@zonadepadel.es","https://padelizados.es/es-es/i/53-zona-de-padel/","N/A"
"SUMA Fitness Club ALFAFAR | Gimnàs i Pàdel a València","","C. Manuel Baixauli Andrés, S/N, 46910, Valencia","+34961843560","holaalfafar@sumafitnessclub.com","https://padelizados.es/es-es/i/593-suma-fitness-club-alfafar-gimnas-i-padel-a-valencia/","N/A"
"Devesa Gardens Camping & Resort","","Carretera de El Saler, Km. 13, 46012, Valencia","+34961611136","info@devesagardens.com","https://padelizados.es/es-es/i/567-devesa-gardens-camping-resort/","N/A"
"Club de Tenis de Bellreguard","","Carretera Playa, km 2,5, 46713, Bellreguard, Valencia, Valencia","+34962818550","info@clubdetenisbellreguard.com","https://padelizados.es/es-es/i/934-club-de-tenis-de-bellreguard/","N/A"
"Tu Pádel Valencia","","Carrer dels Fogainers, 5, 46014, Valencia","+34622559943","info@tupadelvalencia.com","https://padelizados.es/es-es/i/213-tu-padel-valencia/","N/A"
"Pádel Sedavi","","Av. Azagador de la Torre, 13, 46026, Valencia","+34645887353","info@padelsedavi.com","https://padelizados.es/es-es/i/299-padel-sedavi/","N/A"
"Club Valenciano de Natación","","Camino Viejo de Carpesa a Moncada, sn, 46025, Valencia","+34961850360","escuelas.vacacionales@ucv.es","https://padelizados.es/es-es/i/141-club-valenciano-de-natacion/","N/A"
"Win Pádel Club","Pistas cubiertas premium","Av. da Ponte, 80, Cabral, 36215 Vigo","+34 609 78 07 31","info@winpadelclub.com","https://winpadelclub.com/","Playtomic"
"Vigo Pádel","Pistas cubiertas climatizadas","Estrada Ponte Segade-Sárdoma, 29, 36214 Vigo","+34 986 09 35 43","info@vigopadel.com","http://www.vigopadel.com/","Playtomic / Web Propia"
"ARENGA PADEL CLUB","4 pistas indoor (Césped Mondo WPT)","Camiño da Devesa, 1, Sárdoma, 36214 Vigo","+34 986 42 51 92 / 608 802 499","info@arenga.es","http://www.arenga.es/","Playtomic"
"Indoorvigo club de padel","5 pistas indoor (4 dobles y 1 individual)","Camiño Gandariña, 19, Nave 6, Lavadores, 36214 Vigo","+34 986 26 18 15","indoor@indoorvigo.com","http://www.indoorvigo.com/","Web Propia / Teléfono"
"Máis que Auga Barreiro","8 pistas (5 cubiertas, 3 muro exteriores)","Rúa de Barreiro, 99, 36214 Vigo","+34 986 26 47 44","barreiro@maisqueauga.com","https://maisqueauga.com/","Playtomic / Web Propia"
"Máis que Auga Navia","8 pistas indoor (7 dobles, 1 individual)","Rúa de Lamelas, s/n, 36212 Vigo","+34 986 24 74 44","navia@maisqueauga.com","https://maisqueauga.com/","Playtomic / Web Propia"
"Real Club Náutico de Vigo (Instalaciones Los Abetos)","7 pistas de pádel (4 indoor, 3 outdoor)","Camiño dos Abetos, s/n, 36350 Priegue, Nigrán","+34 986 36 61 00 / 986 44 74 41","info@rcnauticovigo.com","http://www.rcnauticovigo.com/","Gestión Interna Socios / Teléfono"
"Club de Campo de Vigo","7 pistas de pádel exteriores","Estrada de Canido, 95, Coruxo, 36331 Vigo","+34 986 46 03 50","info@clubdecampodevigo.com","https://www.clubdecampodevigo.com/","Exclusivo Socios / Teléfono"
"URECA ABANCA","5 pistas de pádel cubiertas","Avenida Manuel Lemos, 124, 36379 Nigrán","+34 986 36 78 60","oficina@ureca.es","https://www.ureca.es/","App Reservas URECA / Web"
"Complexo Deportivo de Samil (Municipal IMD)","Pistas de pádel de césped artificial al aire libre","Avenida de Samil, 32, 36212 Vigo","+34 986 24 15 79 / 986 81 02 95","concelleriadeportes@vigo.org","https://deportes.vigo.org/","Web Concello de Vigo (IMD) / Teléfono"
"Club Pádel Zaragoza","","C. de San Juan Bautista de la Salle, 1, 50012, Zaragoza","+34876776622","oficina@arapadel.com","https://padelizados.es/es-es/i/98-club-padel-zaragoza/","N/A"
"Padel Indoor Square","","Av. de la Diag., 3, Nave c, 50197, Zaragoza","+34876768478","info@padelplaza.es","https://padelizados.es/es-es/i/96-padel-indoor-square/","N/A"
"Regal Club Padel Zaragoza","","CC Alcampo Los Enlaces, N-II, KM 315, 2, Local 31, 50012, Zaragoza","+34976300003","rrhh@regalpadelclub.com","https://padelizados.es/es-es/i/113-regal-club-padel-zaragoza/","N/A"
