Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Club Pàdel Vidreres","","Carrer de l'Institut, s/n, 17411, Vidreres","+34659663750","","https://padelizados.es/es-es/i/634-club-padel-vidreres/","N/A"
"Pàdel Gualta GC Sports","","Carretera de Torroella de Montgrí a, Km 1, 17257, Gualta","+34691542243","info@gualta.com","https://padelizados.es/es-es/i/855-padel-gualta-gc-sports/","N/A"
"Mas de Torrent Hotel & Spa","","Afueras de Torrent, S/N, 17123, Torrent","+34972303292","info@mastorrent.com","https://padelizados.es/es-es/i/755-mas-de-torrent-hotel-spa/","N/A"
"Club de Tennis Calonge","","Carrer de les Escoles, 4, 17251, Calonge","+34640297752","tenniscalonge@gmail.com","https://padelizados.es/es-es/i/536-club-de-tennis-calonge/","N/A"
"Club de pádel Nautic Pádel","","Carrer de les Roques Martines, 3, 17250, Sant Feliu de Guíxols","+34972826111","","https://padelizados.es/es-es/i/481-club-de-padel-nautic-padel/","N/A"
"Club Tennis d´Aro","","Lugar Urbanització la Gramoia del Puig Platja d´Aro, s/n, 17250, Sant Feliu de Guíxols","+34972190533","info@clubtennisdaro.com","https://padelizados.es/es-es/i/214-club-tennis-daro/","N/A"
"La Salada Padel & Tennis","","Ronda Narcís Massanas, 71, 17220, Sant Feliu de Guíxols","+34656489468","padeltennis@lasalada.cat","https://padelizados.es/es-es/i/625-la-salada-padel-tennis/","N/A"
"Pàdel Indoor Punt d'Or","","Costa Brava Bulevard, Planta 1, 17200, Palafrugell","+34686016369","","https://padelizados.es/es-es/i/1337-padel-indoor-punt-dor/","N/A"
"MÉS Esport i Salut","","Avinguda de la Verge de Núria, S/n, 17252, Sant Antoni de Calonge","+34972652810","reserves@mesgavarres.com","https://padelizados.es/es-es/i/1168-mes-esport-i-salut/","N/A"
"Club Tennis Costa Brava","","Camí Ral, 3, 17253, Mont-ras","+34972308172","info@clubtenniscostabrava.com","https://padelizados.es/es-es/i/305-club-tennis-costa-brava/","N/A"
"Club de Tennis L'Escala","","Carrer de l'Escorxador, 79, 17130, L'Escala","+34972770138","","https://padelizados.es/es-es/i/738-club-de-tennis-lescala/","N/A"
"Colònies Canyelles","","Av. Canyelles, 25, 17310, Lloret de Mar","+34972365678","info@coloniescanyelles.com","https://padelizados.es/es-es/i/1231-colonies-canyelles/","N/A"
"Padel and Go","","Av. del Rieral, 22, 17310, Lloret de Mar","+34664687525","booking@padelandgo.com","https://padelizados.es/es-es/i/1606-padel-and-go/","N/A"
"La Piscina de Lloret","","Av. del Rieral, 22, 17310, Lloret de Mar","+34972364384","piscina@lloret.cat","https://padelizados.es/es-es/i/889-la-piscina-de-lloret/","N/A"
"Minigolf bar Montplà. Pàdel. Tennis.","","Carretera de Torroella, 17258, L'Estartit","+34972751002"," montpla.estartit@gmail.com","https://padelizados.es/es-es/i/759-minigolf-bar-montpla--padel--tennis/","N/A"
"Club Tennis Llafranc","","Avenida Jesús Serra Santamans, 15-17, 17211, Llafranc","+34972302308","info@tenisllafranc.cat","https://padelizados.es/es-es/i/312-club-tennis-llafranc/","N/A"
"Golf Lloret / Pàdel - Pitch & Putt","","Papalús s/n, 17310, Lloret de Mar","+34609132133","","https://padelizados.es/es-es/i/318-golf-lloret--padel-pitch-putt/","N/A"
"Zona Esportiva Municipal d'Hostalric","","Carrer Via Romana, s/n, 17450, Hostalric","+34619987453","","https://padelizados.es/es-es/i/1293-zona-esportiva-municipal-dhostalric/","N/A"
"ESPAI PÀDEL BLANES","","Ctra. Tordera, km. 4,5, 17300, Blanes","+34608720733","","https://padelizados.es/es-es/i/169-espai-padel-blanes/","N/A"
